time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type_group,subject_area,qualification,school_type,subject_name,entry_count,perc_astar_grade_achieved,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved
202223,Academic year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,5536,8.00217,25.43353,51.80636,75.16257,90.37211,97.65173
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,2778,4.03168,13.7869,33.22534,58.38733,80.41757,93.59251
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,2617,4.96752,15.93428,38.86129,65.53305,84.56248,95.18533
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,3622,5.30094,19.24351,43.12535,69.43678,86.55439,96.328
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,5191,5.47101,20.131,45.88711,70.33327,88.15257,96.87921
202223,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,2921,8.2506,27.62752,58.06231,81.95823,94.18008,98.87025
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,2386,3.64627,15.96815,40.19279,68.27326,85.83403,96.14417
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,6034,7.75605,25.43918,48.95592,71.34571,86.82466,95.30991
202223,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,4282,5.74498,20.41102,45.74965,70.9248,86.52499,95.46941
202223,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,1686,6.40569,21.53025,46.55991,74.43654,91.39976,97.86477
202223,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,1057,5.01419,21.09745,46.1684,72.28004,90.06623,97.91864
202223,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,1968,3.65854,15.2439,36.7378,63.00813,82.77439,93.90244
