Region,Local_Authority,Ref,School_name,School_type,Gender_info,All_A_levels_students,A_level_maths_percent_all,A_level_further_maths_percent_all,A_level_biological_sciences_percent_all,A_level_chemistry_percent_all,A_level_physics_percent_all,A_level_computer_sciences_percent_all,Female A levels students,A_level_maths_percent_female,A_level_further_maths_percent_female,A_level_biological_sciences_percent_female,A_level_chemistry_percent_female,A_level_physics_percent_female,A_level_computer_sciences_percent_female,Male_A_levels_students,A_level_Maths_percent_male,A_level_further_maths_percent_male,A_level_biological_sciences_percent_male,A_level_chemistry_percent_male,A_level_physics_percent_male,A_level_computer_sciences_percent_male
East of England,Suffolk,141639,Thomas Gainsborough School,Academy converter - mainstream,MIXED,84,27.4,6,17.9,11.9,9.5,0,52,21.2,3.8,21.2,11.5,5.8,0,32,37.5,9.4,12.5,12.5,15.6,0
East of England,Suffolk,136782,Thomas Mills High School,Academy converter - mainstream,MIXED,132,12.9,1.5,20.5,10.6,8.3,6.8,67,3,0,28.4,13.4,1.5,0,65,23.1,3.1,12.3,7.7,15.4,13.8
East of England,Suffolk,124802,Thurston Community College,Community school,MIXED,124,18.5,4.8,25,16.1,13.7,8.1,62,11.3,4.8,25.8,12.9,3.2,1.6,62,25.8,4.8,24.2,19.4,24.2,14.5
East of England,Suffolk,130818,West Suffolk College,General Further Education College,MIXED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East of England,Suffolk,124887,Woodbridge School,Independent school,MIXED,53,41.5,5.7,15.1,28.3,15.1,5.7,31,32.3,9.7,19.4,29,12.9,3.2,22,54.5,0,9.1,27.3,18.2,9.1
East of England,Thurrock,137549,Harris Academy Chafford Hundred,Academy converter - mainstream,MIXED,157,22.9,1.9,14,0,0,0,93,14,1.1,17.2,0,0,0,64,35.9,3.1,9.4,0,0,0
East of England,Thurrock,147537,Harris Academy Ockendon,Academy converter - mainstream,MIXED,98,12.2,0,17.3,15.3,8.2,0,57,10.5,0,22.8,19.3,5.3,0,41,14.6,0,9.8,9.8,12.2,0
East of England,Thurrock,144750,Harris Academy Riverside,Free school ? mainstream,MIXED,63,74.6,19,58.7,68.3,31.7,0,25,56,8,80,72,12,0,38,86.8,26.3,44.7,65.8,44.7,0
East of England,Thurrock,136854,Ortu Gable Hall School,Academy converter - mainstream,MIXED,57,17.5,7,17.5,12.3,15.8,0,42,11.9,2.4,16.7,9.5,7.1,0,15,33.3,20,20,20,40,0
London,Barking and Dagenham,101247,All Saints Catholic School and Technology College,Voluntary aided school,MIXED,110,23.6,7.3,39.1,31.8,13.6,8.2,51,23.5,3.9,54.9,43.1,5.9,0,59,23.7,10.2,25.4,22,20.3,15.3
London,Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community school,MIXED,191,26.2,4.7,25.7,18.8,5.2,8.9,95,13.7,3.2,32.6,18.9,0,3.2,96,38.5,6.3,18.8,18.8,10.4,14.6
London,Barking and Dagenham,130424,Barking and Dagenham College,General Further Education College,MIXED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
London,Barking and Dagenham,148932,Brook Sixth Form and Academy,UTC,MIXED,25,64,0,32,24,16,24,6,16.7,0,100,50,0,0,19,78.9,0,10.5,15.8,21.1,31.6
London,Barking and Dagenham,136028,Dagenham Park CofE School,Voluntary controlled school,MIXED,76,43.4,0,21.1,22.4,5.3,18.4,34,41.2,0,23.5,23.5,2.9,8.8,42,45.2,0,19,21.4,7.1,26.2
London,Barking and Dagenham,101244,Eastbury Community School,Community school,MIXED,114,23.7,6.1,22.8,21.9,7,18.4,61,16.4,1.6,27.9,23,3.3,3.3,53,32.1,11.3,17,20.8,11.3,35.8
London,Barking and Dagenham,140962,Goresbrook School,Free school ? mainstream,MIXED,57,50.9,10.5,31.6,21.1,26.3,0,27,40.7,11.1,37,22.2,18.5,0,30,60,10,26.7,20,33.3,0
London,Barking and Dagenham,133561,Jo Richardson Community School,Community school,MIXED,99,18.2,1,27.3,18.2,8.1,4,56,17.9,0,33.9,23.2,3.6,0,43,18.6,2.3,18.6,11.6,14,9.3
London,Barking and Dagenham,139791,Riverside School,Free school ? mainstream,MIXED,59,32.2,3.4,22,30.5,15.3,16.9,37,32.4,2.7,27,43.2,13.5,8.1,22,31.8,4.5,13.6,9.1,18.2,31.8
London,Barking and Dagenham,101245,Robert Clack School,Community school,MIXED,120,35.8,8.3,27.5,33.3,10,10,67,34.3,9,38.8,40.3,6,1.5,53,37.7,7.5,13.2,24.5,15.1,20.8
London,Barking and Dagenham,141683,The Sydney Russell School,Academy converter - mainstream,MIXED,93,35.5,5.4,22.6,14,6.5,15.1,50,18,2,20,10,2,10,43,55.8,9.3,25.6,18.6,11.6,20.9
London,Barking and Dagenham,141178,The Warren School,Academy sponsor led,MIXED,72,22.2,6.9,20.8,27.8,13.9,0,36,5.6,0,25,19.4,0,0,36,38.9,13.9,16.7,36.1,27.8,0
London,Barnet,136308,Ashmole Academy,Academy converter - mainstream,MIXED,267,40.8,7.5,22.8,20.2,13.5,10.9,146,28.8,2.7,31.5,26.7,2.1,4.1,121,55.4,13.2,12.4,12.4,27.3,19
London,Barnet,130425,Barnet and Southgate College,General Further Education College,MIXED,106,22.6,0,19.8,15.1,11.3,0,56,14.3,0,21.4,16.1,1.8,0,50,32,0,18,14,22,0
London,Barnet,101388,Beth Jacob Grammar School for Girls,Independent school,GIRLS,11,36.4,0,0,0,0,0,11,36.4,0,0,0,0,0,0,0,0,0,0,0,0
London,Barnet,143082,Bishop Douglass School Finchley,Academy converter - mainstream,MIXED,106,24.5,2.8,15.1,20.8,6.6,0,48,18.8,0,20.8,16.7,4.2,0,58,29.3,5.2,10.3,24.1,8.6,0
London,Barnet,101393,Brampton College,Independent school,MIXED,127,45.7,5.5,26.8,34.6,18.1,0,65,38.5,1.5,36.9,41.5,12.3,0,62,53.2,9.7,16.1,27.4,24.2,0
London,Barnet,137388,Christ's College Finchley,Academy converter - mainstream,MIXED,44,75,9.1,43.2,59.1,36.4,0,3,66.7,0,66.7,33.3,0,0,41,75.6,9.8,41.5,61,39,0
London,Barnet,138685,Copthall School,Academy converter - mainstream,GIRLS,93,14,0,36.6,25.8,0,0,93,14,0,36.6,25.8,0,0,0,0,0,0,0,0,0
London,Barnet,101391,Dwight School London,Independent school,MIXED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
London,Barnet,136658,East Barnet School,Academy converter - mainstream,MIXED,153,22.2,3.3,17.6,16.3,5.9,15.7,67,9,0,25.4,14.9,3,3,86,32.6,5.8,11.6,17.4,8.1,25.6
London,Barnet,101362,Finchley Catholic High School,Voluntary aided school,MIXED,138,32.6,1.4,15.2,11.6,15.9,10.1,28,10.7,0,10.7,10.7,3.6,3.6,110,38.2,1.8,16.4,11.8,19.1,11.8
London,Barnet,137539,Hasmonean High School for Boys,Academy converter - mainstream,BOYS,87,55.2,9.2,26.4,24.1,20.7,3.4,0,0,0,0,0,0,0,87,55.2,9.2,26.4,24.1,20.7,3.4
London,Barnet,147238,Hasmonean High School for Girls,Academy converter - mainstream,GIRLS,68,26.5,2.9,39.7,19.1,5.9,2.9,68,26.5,2.9,39.7,19.1,5.9,2.9,0,0,0,0,0,0,0
London,Barnet,137645,Hendon School,Academy converter - mainstream,MIXED,78,32.1,0,21.8,20.5,10.3,0,40,25,0,20,17.5,2.5,0,38,39.5,0,23.7,23.7,18.4,0
London,Barnet,135747,JCoSS,Voluntary aided school,MIXED,145,28.3,4.1,11,14.5,12.4,4.8,72,22.2,0,16.7,18.1,4.2,1.4,73,34.2,8.2,5.5,11,20.5,8.2
London,Barnet,134798,London Academy,Academy sponsor led,MIXED,151,37.1,7.3,18.5,15.9,11.3,0,71,21.1,2.8,26.8,19.7,0,0,80,51.3,11.3,11.3,12.5,21.3,0
London,Barnet,101387,Menorah Grammar School,Independent school,BOYS,19,52.6,0,36.8,10.5,15.8,0,0,0,0,0,0,0,0,19,52.6,0,36.8,10.5,15.8,0
London,Barnet,142627,Menorah High School for Girls,Voluntary aided school,GIRLS,34,41.2,0,41.2,23.5,0,8.8,34,41.2,0,41.2,23.5,0,8.8,0,0,0,0,0,0,0
London,Barnet,137386,Mill Hill County High School,Academy converter - mainstream,MIXED,224,44.6,3.6,21.4,24.1,16.5,9.4,130,33.1,3.8,25.4,23.8,7.7,4.6,94,60.6,3.2,16,24.5,28.7,16
London,Barnet,101367,Mill Hill School Foundation,Independent school,MIXED,159,40.3,6.9,18.2,15.7,15.7,0,52,32.7,11.5,23.1,25,9.6,0,107,43.9,4.7,15.9,11.2,18.7,0
London,Barnet,101374,Mount House School,Independent school,MIXED,14,21.4,0,0,7.1,7.1,0,12,25,0,0,8.3,8.3,0,2,0,0,0,0,0,0
London,Barnet,137131,Queen Elizabeth's Girls' School,Academy converter - mainstream,GIRLS,45,17.8,0,22.2,22.2,6.7,0,45,17.8,0,22.2,22.2,6.7,0,0,0,0,0,0,0,0
London,Barnet,136290,"Queen Elizabeth's School, Barnet",Academy converter - mainstream,BOYS,166,86.7,33.7,36.1,54.8,38,0,0,0,0,0,0,0,0,166,86.7,33.7,36.1,54.8,38,0
London,Barnet,139410,St Andrew the Apostle Greek Orthodox School,Free school ? mainstream,MIXED,52,17.3,3.8,25,11.5,5.8,0,15,0,0,6.7,6.7,0,0,37,24.3,5.4,32.4,13.5,8.1,0
London,Barnet,101364,St James' Catholic High School,Voluntary aided school,MIXED,66,24.2,0,16.7,19.7,10.6,0,42,26.2,0,16.7,19,9.5,0,24,20.8,0,16.7,20.8,12.5,0
London,Barnet,103119,St Mary's and St John's CofE School,Voluntary aided school,MIXED,47,55.3,0,46.8,29.8,14.9,12.8,28,46.4,0,46.4,39.3,3.6,0,19,68.4,0,47.4,15.8,31.6,31.6
London,Barnet,101361,St Michael's Catholic Grammar School,Voluntary aided school,MIXED,136,47.8,6.6,48.5,47.8,21.3,0,116,43.1,6,46.6,48.3,18.1,0,20,75,10,60,45,40,0
London,Barnet,136418,The Compton School,Academy converter - mainstream,MIXED,127,27.6,2.4,15,15,10.2,12.6,65,16.9,1.5,21.5,23.1,3.1,3.1,62,38.7,3.2,8.1,6.5,17.7,22.6
London,Barnet,138051,The Henrietta Barnett School,Academy converter - mainstream,GIRLS,142,73.2,23.2,38,48.6,16.2,0,142,73.2,23.2,38,48.6,16.2,0,0,0,0,0,0,0,0
London,Barnet,101369,The King Alfred School,Independent school,MIXED,58,22.4,1.7,13.8,3.4,5.2,6.9,36,16.7,0,11.1,5.6,0,0,22,31.8,4.5,18.2,0,13.6,18.2
London,Barnet,144502,The Totteridge Academy,Academy sponsor led,MIXED,24,33.3,8.3,8.3,0,20.8,0,11,9.1,0,9.1,0,0,0,13,53.8,15.4,7.7,0,38.5,0
London,Barnet,131288,WENTWORTH COLLEGE,Independent school,MIXED,4,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
London,Barnet,137361,Whitefield School,Academy converter - mainstream,MIXED,64,17.2,0,18.8,18.8,12.5,7.8,24,4.2,0,29.2,29.2,0,0,40,25,0,12.5,12.5,20,12.5
London,Barnet,148421,Woodhouse College,Academy 16-19 converter,MIXED,720,49.6,8.2,27.4,27.6,16.3,7.6,455,37.6,4.4,33,28.4,6.6,4.2,265,70.2,14.7,17.7,26.4,32.8,13.6
London,Barnet,135507,Wren Academy Finchley,Academy sponsor led,MIXED,154,43.5,4.5,17.5,17.5,13.6,3.2,75,33.3,1.3,22.7,20,5.3,1.3,79,53.2,7.6,12.7,15.2,21.5,5.1
London,Bexley,136334,Beths Grammar School,Academy converter - mainstream,MIXED,409,50.9,4.9,18.8,16.1,20.3,17.8,145,31.7,1.4,19.3,15.9,3.4,7.6,264,61.4,6.8,18.6,16.3,29.5,23.5
London,Bexley,136369,Bexley Grammar School,Academy converter - mainstream,MIXED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
London,Bexley,137138,Bexleyheath Academy,Academy sponsor led,MIXED,97,15.5,0,16.5,5.2,8.2,0,60,13.3,0,21.7,3.3,3.3,0,37,18.9,0,8.1,8.1,16.2,0
London,Bexley,137965,Blackfen School for Girls,Academy converter - mainstream,MIXED,120,8.3,1.7,12.5,7.5,0,0,81,8.6,2.5,12.3,8.6,0,0,39,7.7,0,12.8,5.1,0,0
London,Bexley,137423,Chislehurst and Sidcup Grammar School,Academy converter - mainstream,MIXED,240,36.3,7.5,23.8,23.8,16.3,15.4,98,22.4,5.1,22.4,19.4,6.1,11.2,142,45.8,9.2,24.6,26.8,23.2,18.3
London,Bexley,138686,Cleeve Park School,Academy converter - mainstream,MIXED,34,11.8,0,17.6,0,0,0,18,0,0,16.7,0,0,0,16,25,0,18.8,0,0,0
London,Bexley,135951,Haberdashers' Crayford Academy,Academy sponsor led,MIXED,80,7.5,0,15,10,5,0,39,2.6,0,12.8,7.7,2.6,0,41,12.2,0,17.1,12.2,7.3,0
London,Bexley,135677,Harris Academy Falconwood,Academy sponsor led,MIXED,114,28.1,2.6,15.8,14,6.1,0,50,10,0,16,14,2,0,64,42.2,4.7,15.6,14.1,9.4,0
London,Bexley,145140,Harris Garrard Academy,Academy sponsor led,MIXED,31,29,0,19.4,25.8,0,0,18,27.8,0,27.8,27.8,0,0,13,30.8,0,7.7,23.1,0,0
London,Bexley,146378,King Henry School,Academy sponsor led,MIXED,41,19.5,0,19.5,9.8,0,0,17,11.8,0,23.5,0,0,0,24,25,0,16.7,16.7,0,0
London,Bexley,149898,Leigh Academy Bexley,Academy sponsor led,MIXED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
London,Bexley,137769,Townley Grammar School,Academy converter - mainstream,MIXED,244,47.5,4.1,38.5,40.2,15.6,10.7,194,45.9,2.1,37.6,37.1,13.4,9.3,50,54,12,42,52,24,16
London,Bexley,136538,"Trinity Church of England School, Belvedere",Academy converter - mainstream,MIXED,48,14.6,0,22.9,14.6,6.3,10.4,33,3,0,21.2,9.1,0,3,15,40,0,26.7,26.7,20,26.7
London,Bexley,136720,Welling School,Academy converter - mainstream,MIXED,49,20.4,0,14.3,14.3,0,0,26,15.4,0,11.5,7.7,0,0,23,26.1,0,17.4,21.7,0,0
London,Bexley,146885,Woodside Academy,Academy converter ? special school,MIXED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
London,Brent,138610,Alperton Community School,Academy converter - mainstream,MIXED,114,36.8,8.8,20.2,21.9,14.9,0,53,24.5,3.8,32.1,26.4,5.7,0,61,47.5,13.1,9.8,18,23,0
London,Brent,135600,Ark Academy,Academy sponsor led,MIXED,116,46.6,13.8,31.9,26.7,10.3,0,74,37.8,12.2,35.1,29.7,4.1,0,42,61.9,16.7,26.2,21.4,21.4,0
London,Brent,141019,Ark Elvin Academy,Academy sponsor led,MIXED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
London,Brent,136656,Claremont High School,Academy converter - mainstream,MIXED,118,40.7,2.5,30.5,31.4,15.3,5.1,60,31.7,1.7,38.3,41.7,5,1.7,58,50,3.4,22.4,20.7,25.9,8.6
London,Brent,135973,E-ACT Crest Academy,Academy sponsor led,MIXED,51,41.2,3.9,17.6,17.6,19.6,0,21,38.1,0,28.6,19,4.8,0,30,43.3,6.7,10,16.7,30,0
London,Brent,134226,Harris Lowe Academy Willesden,Academy sponsor led,MIXED,56,37.5,0,16.1,10.7,19.6,0,23,17.4,0,17.4,4.3,0,0,33,51.5,0,15.2,15.2,33.3,0
London,Brent,133724,JFS,Voluntary aided school,MIXED,233,36.9,6.4,18.9,10.7,13.7,13.7,109,22.9,2.8,26.6,11.9,3.7,3.7,124,49.2,9.7,12.1,9.7,22.6,22.6
London,Brent,137685,Kingsbury High School,Academy converter - mainstream,MIXED,131,42.7,11.5,19.1,19.1,19.1,9.2,72,23.6,4.2,16.7,18.1,2.8,0,59,66.1,20.3,22,20.3,39,20.3
London,Brent,142329,Lycee International de Londres,Independent school,MIXED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
London,Brent,140862,Michaela Community School,Free school ? mainstream,MIXED,36,86.1,22.2,44.4,55.6,16.7,0,22,81.8,9.1,50,50,4.5,0,14,92.9,42.9,35.7,64.3,35.7,0
London,Brent,142832,New Level Academy,Independent school,MIXED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
London,Brent,101564,Newman Catholic College,Voluntary aided school,MIXED,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
London,Brent,139319,Preston Manor School,Academy converter - mainstream,MIXED,122,32.8,4.1,38.5,30.3,9,11.5,62,24.2,4.8,38.7,32.3,4.8,6.5,60,41.7,3.3,38.3,28.3,13.3,16.7
London,Brent,138609,Queens Park Community School,Academy converter - mainstream,MIXED,88,44.3,5.7,18.2,14.8,13.6,8,43,27.9,2.3,25.6,23.3,2.3,4.7,45,60,8.9,11.1,6.7,24.4,11.1
London,Brent,137994,Saint Claudine's Catholic School for Girls,Academy converter - mainstream,MIXED,70,32.9,0,27.1,25.7,0,0,70,32.9,0,27.1,25.7,0,0,0,0,0,0,0,0,0
London,Brent,142560,St Gregory's Catholic Science College,Academy converter - mainstream,MIXED,67,28.4,1.5,11.9,16.4,4.5,7.5,34,23.5,0,11.8,17.6,5.9,5.9,33,33.3,3,12.1,15.2,3,9.1
London,Brent,138457,Wembley High Technology College,Academy converter - mainstream,MIXED,145,64.1,9.7,37.9,22.1,26.9,0,76,43.4,3.9,52.6,23.7,15.8,0,69,87,15.9,21.7,20.3,39.1,0
London,Bromley,101680,Babington House School,Independent school,MIXED,8,75,0,50,37.5,0,0,5,80,0,80,60,0,0,3,66.7,0,0,0,0,0
London,Bromley,101683,Bishop Challoner School,Independent school,MIXED,11,36.4,9.1,27.3,9.1,18.2,0,4,25,0,25,0,25,0,7,42.9,14.3,28.6,14.3,14.3,0
London,Bromley,136466,Bishop Justus CofE School,Academy converter - mainstream,MIXED,86,24.4,0,11.6,8.1,12.8,4.7,37,16.2,0,13.5,5.4,5.4,0,49,30.6,0,10.2,10.2,18.4,8.2
London,Bromley,101692,Bromley High School,Independent school,GIRLS,68,30.9,4.4,25,20.6,8.8,2.9,68,30.9,4.4,25,20.6,8.8,2.9,0,0,0,0,0,0,0
London,Bromley,136709,Bullers Wood School,Academy converter - mainstream,MIXED,198,20.7,4.5,21.7,14.1,5.1,4.5,172,19.2,4.1,21.5,15.7,3.5,2.3,26,30.8,7.7,23.1,3.8,15.4,19.2
London,Bromley,136545,Charles Darwin School,Academy converter - mainstream,MIXED,99,12.1,3,10.1,5.1,10.1,8.1,55,7.3,0,9.1,5.5,3.6,1.8,44,18.2,6.8,11.4,4.5,18.2,15.9
London,Bromley,136467,Chislehurst School for Girls,Academy converter - mainstream,MIXED,70,17.1,0,22.9,15.7,4.3,2.9,66,16.7,0,22.7,16.7,4.5,1.5,4,25,0,25,0,0,25
London,Bromley,136464,Coopers School,Academy converter - mainstream,MIXED,137,8.8,0,15.3,8.8,0,11.7,64,7.8,0,12.5,6.3,0,3.1,73,9.6,0,17.8,11,0,19.2
London,Bromley,136355,Darrick Wood School,Academy converter - mainstream,MIXED,172,33.1,7,14,9.3,12.2,8.1,85,18.8,1.2,21.2,9.4,2.4,1.2,87,47.1,12.6,6.9,9.2,21.8,14.9
London,Bromley,101695,Darul Uloom London School,Independent school,BOYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
London,Bromley,101693,Eltham College,Independent school,MIXED,113,63.7,15,15,21.2,31,7.1,19,57.9,15.8,42.1,42.1,10.5,5.3,94,64.9,14.9,9.6,17,35.1,7.4
London,Bromley,101685,Farringtons School,Independent school,MIXED,36,30.6,2.8,11.1,13.9,19.4,5.6,18,33.3,5.6,16.7,11.1,11.1,0,18,27.8,0,5.6,16.7,27.8,11.1
London,Bromley,137121,Harris Academy Beckenham,Academy sponsor led,MIXED,50,44,0,12,12,8,20,14,14.3,0,7.1,0,0,7.1,36,55.6,0,13.9,16.7,11.1,25
London,Bromley,143427,Harris Academy Orpington,Academy sponsor led,MIXED,27,25.9,0,7.4,3.7,0,0,14,14.3,0,7.1,0,0,0,13,38.5,0,7.7,7.7,0,0
London,Bromley,137379,Harris Girls Academy Bromley,Academy converter - mainstream,MIXED,44,15.9,0,29.5,22.7,0,0,40,15,0,32.5,25,0,0,4,25,0,0,0,0,0
London,Bromley,136644,Hayes School,Academy converter - mainstream,MIXED,201,21.4,2.5,16.4,10,6.5,7,103,14.6,1,19.4,12.6,1,0,98,28.6,4.1,13.3,7.1,12.2,14.3
London,Bromley,138384,Kings London,Independent school,MIXED,11,81.8,18.2,36.4,36.4,27.3,9.1,7,100,28.6,42.9,42.9,14.3,0,4,50,0,25,25,50,25
London,Bromley,136586,Langley Park School for Boys,Academy converter - mainstream,MIXED,307,31.3,2.3,19.2,12.7,8.8,20.2,95,18.9,0,25.3,15.8,1.1,5.3,212,36.8,3.3,16.5,11.3,12.3,26.9
London,Bromley,137006,Langley Park School for Girls,Academy converter - mainstream,MIXED,251,18.7,2.4,25.1,16.3,7.2,7.6,194,16,1.5,26.3,17,4.1,4.6,57,28.1,5.3,21.1,14,17.5,17.5
London,Bromley,130430,London South East Colleges,General Further Education College,MIXED,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
London,Bromley,136551,Newstead Wood School,Academy converter - mainstream,MIXED,225,65.8,12.4,36,41.8,16.9,8.4,184,64.7,9.8,39.7,45.7,10.9,6,41,70.7,24.4,19.5,24.4,43.9,19.5
London,Bromley,136517,Ravens Wood School,Academy converter - mainstream,MIXED,201,27.9,4,9,6,10.9,7.5,40,7.5,0,15,5,2.5,0,161,32.9,5,7.5,6.2,13,9.3
London,Bromley,101676,St Olave's and St Saviour's Grammar School,Voluntary aided school,MIXED,229,82.5,24,36.7,49.8,40.6,6.6,79,77.2,19,44.3,51.9,25.3,2.5,150,85.3,26.7,32.7,48.7,48.7,8.7
London,Bromley,136540,The Ravensbourne School,Academy converter - mainstream,MIXED,67,20.9,3,19.4,7.5,4.5,9,32,9.4,0,12.5,3.1,0,0,35,31.4,5.7,25.7,11.4,8.6,17.1
London,Camden,100053,Acland Burghley School,Community school,MIXED,106,11.3,1.9,19.8,8.5,1.9,2.8,56,8.9,1.8,10.7,5.4,0,1.8,50,14,2,30,12,4,4
London,Camden,130421,Capital City College Group,General Further Education College,MIXED,996,21.3,1.5,17,11.1,5.9,3.8,687,14,0.6,18,10.5,2.6,1.2,309,37.5,3.6,14.6,12.6,13.3,9.7
London,Camden,142408,Ecole Jeannine Manuel,Independent school,MIXED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
London,Camden,100084,Fine Arts College,Independent school,MIXED,86,2.3,0,1.2,0,0,0,53,1.9,0,1.9,0,0,0,33,3,0,0,0,0,0
London,Camden,137333,Guildhouse School,Independent school,MIXED,12,58.3,16.7,8.3,0,16.7,0,3,66.7,33.3,0,0,0,0,9,55.6,11.1,11.1,0,22.2,0
London,Camden,100052,Hampstead School,Community school,MIXED,110,34.5,7.3,18.2,15.5,12.7,10,44,27.3,0,27.3,15.9,4.5,0,66,39.4,12.1,12.1,15.2,18.2,16.7
London,Camden,100049,Haverstock School,Community school,MIXED,88,34.1,0,31.8,23.9,19.3,6.8,37,16.2,0,51.4,32.4,5.4,0,51,47.1,0,17.6,17.6,29.4,11.8
London,Camden,100059,La Sainte Union Catholic Secondary School,Voluntary aided school,MIXED,61,21.3,0,19.7,16.4,6.6,8.2,54,18.5,0,22.2,18.5,3.7,0,7,42.9,0,0,0,28.6,71.4
London,Camden,132838,LaSWAP Sixth Form,Sixth Form Centre / Consortia,,372,19.4,1.9,19.1,12.6,5.9,3.5,255,15.3,1.6,18.4,12.2,2.4,0.8,117,28.2,2.6,20.5,13.7,13.7,9.4
London,Camden,146553,LSI Independent College,Independent school,MIXED,14,35.7,0,42.9,21.4,0,7.1,8,37.5,0,50,25,0,12.5,6,33.3,0,33.3,16.7,0,0
London,Camden,100055,Maria Fidelis Catholic School FCJ,Voluntary aided school,MIXED,50,18,0,28,26,0,0,34,20.6,0,26.5,20.6,0,0,16,12.5,0,31.3,37.5,0,0
London,Camden,100050,Parliament Hill School,Community school,MIXED,137,21.2,2.9,20.4,13.1,6.6,1.5,119,19.3,2.5,22.7,14.3,3.4,0.8,18,33.3,5.6,5.6,5.6,27.8,5.6
London,Camden,100051,Regent High School,Community school,MIXED,71,16.9,0,14.1,8.5,12.7,0,35,8.6,0,17.1,14.3,2.9,0,36,25,0,11.1,2.8,22.2,0
London,Camden,100076,South Hampstead High School,Independent school,GIRLS,62,54.8,11.3,27.4,30.6,4.8,1.6,62,54.8,11.3,27.4,30.6,4.8,1.6,0,0,0,0,0,0,0
London,Camden,100054,The Camden School for Girls,Voluntary aided school,MIXED,210,36.2,7.6,22.9,21.4,12.4,0,144,32.6,6.3,25.7,23.6,9,0,66,43.9,10.6,16.7,16.7,19.7,0
London,Camden,137181,The UCL Academy,Academy sponsor led,MIXED,131,44.3,3.8,29,22.1,10.7,13,72,36.1,4.2,30.6,25,5.6,5.6,59,54.2,3.4,27.1,18.6,16.9,22
London,Camden,100065,University College School,Independent school,MIXED,169,58,14.2,16.6,26.6,23.1,9.5,47,51.1,4.3,25.5,27.7,14.9,4.3,122,60.7,18,13.1,26.2,26.2,11.5
London,Camden,100056,William Ellis School,Voluntary aided school,MIXED,68,26.5,1.5,14.7,14.7,10.3,4.4,26,3.8,0,7.7,3.8,0,0,42,40.5,2.4,19,21.4,16.7,7.1
London,Camden,130403,WM College,Specialist Designated College,MIXED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
London,City of London,100003,City of London School,Independent school,BOYS,139,64.7,22.3,22.3,33.8,25.2,0,0,0,0,0,0,0,0,139,64.7,22.3,22.3,33.8,25.2,0
London,City of London,100001,City of London School for Girls,Independent school,GIRLS,100,66,15,31,32,11,1,100,66,15,31,32,11,1,0,0,0,0,0,0,0
London,City of London,100544,David Game College,Independent school,MIXED,124,47.6,9.7,32.3,26.6,10.5,7.3,52,32.7,5.8,36.5,30.8,3.8,0,72,58.3,12.5,29.2,23.6,15.3,12.5
London,Croydon,101811,Archbishop Tenison's CofE High School,Voluntary aided school,MIXED,61,29.5,6.6,18,14.8,11.5,14.8,32,12.5,0,28.1,18.8,3.1,3.1,29,48.3,13.8,6.9,10.3,20.7,27.6
London,Croydon,101849,BRIT School for Performing Arts and Technology,City technology college,MIXED,102,9.8,0,0,0,0,0,63,9.5,0,0,0,0,0,39,10.3,0,0,0,0,0
London,Croydon,133528,Cambridge Tutors College,Independent school,MIXED,22,54.5,13.6,45.5,31.8,27.3,13.6,6,66.7,0,66.7,33.3,0,0,16,50,18.8,37.5,31.3,37.5,18.8
London,Croydon,101823,Coloma Convent Girls' School,Voluntary aided school,GIRLS,136,27.2,0.7,30.1,22.1,5.1,5.1,136,27.2,0.7,30.1,22.1,5.1,5.1,0,0,0,0,0,0,0
London,Croydon,145875,Coombe Wood School,Free school ? mainstream,MIXED,44,54.5,0,50,29.5,25,0,16,43.8,0,68.8,43.8,0,0,28,60.7,0,39.3,21.4,39.3,0
London,Croydon,130432,Croydon College,General Further Education College,MIXED,180,10.6,0,6.7,4.4,2.2,6.1,100,4,0,8,4,0,1,80,18.8,0,5,5,5,12.5
London,Croydon,101845,Croydon High School,Independent school,GIRLS,47,31.9,0,36.2,36.2,12.8,0,47,31.9,0,36.2,36.2,12.8,0,0,0,0,0,0,0,0
