School,Location,Progressed to Sustained App'ship (%),Progressed to Sustained L4 or above  (%),Progressed to Top-Third Higher Education (%),Progressed to Russell Group Institution (%),Progressed to Oxford or Cambridge (%),Progressed to Sciences (avg) %,OFSTED Score % (Accounting for Time Since OFTSTED Visit),OFTSTED rating,Last OFSTED Visit,Performance Across All Indices %,Region_name
Hewens College,Hillingdon,0.00%,67.00%,17.00%,17.00%,0.00%,16.67%,50.00%,Requires improvement,2023-01-26 00:00:00,21.20%,London
Saffron Walden County High School,Essex,2.00%,79.00%,37.00%,36.00%,2.00%,11.68%,20.00%,Outstanding,2012-05-17 00:00:00,21.19%,East of England
Melksham Oak Community School,Wiltshire,0.00%,60.00%,12.00%,19.00%,0.00%,14.07%,75.00%,Good,2022-10-05 00:00:00,21.18%,South West
Lord Williams's School,Oxfordshire,2.00%,71.00%,17.00%,17.00%,2.00%,10.95%,75.00%,Good,2022-05-18 00:00:00,21.18%,South East
Alec Reed Academy,Ealing,0.00%,70.00%,14.00%,8.00%,1.00%,14.00%,75.00%,Good,2023-06-21 00:00:00,21.18%,London
The Boston Grammar School,Lincolnshire,3.00%,82.00%,22.00%,19.00%,1.00%,16.30%,25.00%,Good,2021-10-06 00:00:00,21.17%,East Midlands
Becket Keys Church of England Free School,Essex,3.00%,76.00%,32.00%,27.00%,3.00%,14.33%,20.00%,Outstanding,2014-05-08 00:00:00,21.16%,East of England
Kesteven and Sleaford High School Selective Academy,Lincolnshire,0.00%,83.00%,27.00%,27.00%,2.00%,15.55%,15.00%,Good,2017-11-14 00:00:00,21.14%,East Midlands
Whitefield School,Barnet,0.00%,81.00%,13.00%,8.00%,0.00%,12.52%,75.00%,Good,2022-12-08 00:00:00,21.14%,London
Woking College,Surrey,2.00%,65.00%,14.00%,12.00%,1.00%,9.43%,100.00%,Outstanding,2022-10-07 00:00:00,21.13%,South East
"Mayfield Grammar School, Gravesend",Kent,3.00%,89.00%,20.00%,21.00%,2.00%,15.53%,20.00%,Outstanding,2013-06-12 00:00:00,21.12%,South East
Ada National College for Digital Skills,Westminster,21.00%,85.00%,11.00%,11.00%,2.00%,7.50%,75.00%,Good,2023-03-17 00:00:00,21.10%,London
Benton Park School,Leeds,1.00%,77.00%,29.00%,24.00%,0.00%,11.22%,50.00%,Requires improvement,2023-10-26 00:00:00,21.09%,Yorkshire and The Humber
"City of Norwich School, An Ormiston Academy",Norfolk,1.00%,81.00%,29.00%,26.00%,2.00%,13.72%,25.00%,Good,2021-12-08 00:00:00,21.04%,East of England
All Hallows Catholic School,Surrey,0.00%,75.00%,37.00%,26.00%,0.00%,14.82%,20.00%,Outstanding,2014-06-06 00:00:00,21.01%,South East
Jane Austen College,Norfolk,0.00%,95.00%,30.00%,25.00%,5.00%,2.42%,75.00%,Good,2022-05-25 00:00:00,21.00%,East of England
Sirius Academy West,"Kingston upon Hull, City of",2.00%,69.00%,22.00%,18.00%,6.00%,8.88%,75.00%,Good,2022-05-25 00:00:00,20.99%,Yorkshire and The Humber
Redborne Upper School and Community College,Central Bedfordshire,5.00%,73.00%,20.00%,17.00%,1.00%,9.50%,75.00%,Good,2023-05-05 00:00:00,20.99%,East of England
Southgate School,Enfield,1.00%,88.00%,23.00%,15.00%,0.00%,16.13%,25.00%,Good,2019-10-17 00:00:00,20.98%,London
Winchmore School,Enfield,1.00%,81.00%,19.00%,17.00%,0.00%,9.23%,75.00%,Good,2022-06-29 00:00:00,20.98%,London
Aston Manor Academy,Birmingham,1.00%,82.00%,14.00%,14.00%,0.00%,19.67%,20.00%,Outstanding,2017-06-07 00:00:00,20.98%,West Midlands
Chilwell School,Nottinghamshire,3.00%,63.00%,25.00%,23.00%,5.00%,18.45%,15.00%,Good,2018-05-09 00:00:00,20.98%,East Midlands
Hatch End High School,Harrow,1.00%,88.00%,21.00%,21.00%,0.00%,16.93%,15.00%,Good,2018-03-27 00:00:00,20.98%,London
Featherstone High School,Ealing,1.00%,91.00%,19.00%,16.00%,1.00%,16.67%,20.00%,Outstanding,2015-01-29 00:00:00,20.98%,London
Chislehurst School for Girls,Bromley,3.00%,71.00%,16.00%,16.00%,3.00%,10.48%,75.00%,Good,2023-01-25 00:00:00,20.97%,London
Bede Academy,Northumberland,4.00%,72.00%,20.00%,20.00%,1.00%,9.17%,75.00%,Good,2023-06-21 00:00:00,20.96%,North East
Harrow High School,Harrow,0.00%,87.00%,15.00%,13.00%,0.00%,9.80%,75.00%,Good,2023-09-28 00:00:00,20.95%,London
William Ellis School,Camden,1.00%,78.00%,22.00%,21.00%,2.00%,12.02%,50.00%,Requires improvement,2022-05-19 00:00:00,20.94%,London
Park View School,County Durham,2.00%,65.00%,25.00%,22.00%,1.00%,13.57%,50.00%,Requires improvement,2022-12-15 00:00:00,20.94%,North East
St Gregory's Catholic Science College,Brent,0.00%,87.00%,28.00%,26.00%,1.00%,11.70%,33.33%,Outstanding,2019-03-27 00:00:00,20.94%,London
Ormiston Rivers Academy,Essex,2.00%,48.00%,5.00%,5.00%,0.00%,19.20%,75.00%,Good,2023-06-08 00:00:00,20.93%,East of England
Lord Grey Academy,Milton Keynes,0.00%,69.00%,8.00%,8.00%,0.00%,14.92%,75.00%,Good,2022-05-25 00:00:00,20.93%,South East
WMG Academy for Young Engineers (Solihull),Solihull,7.00%,55.00%,10.00%,8.00%,0.00%,24.07%,25.00%,Good,2019-02-28 00:00:00,20.92%,West Midlands
Holmleigh Park High School,Gloucestershire,2.00%,52.00%,0.00%,5.00%,0.00%,19.32%,75.00%,Good,2023-10-12 00:00:00,20.91%,South West
"Gumley House RC Convent School, FCJ",Hounslow,0.00%,95.00%,27.00%,26.00%,1.00%,13.53%,15.00%,Good,2018-10-17 00:00:00,20.91%,London
The Phoenix Collegiate,Sandwell,0.00%,69.00%,10.00%,8.00%,0.00%,14.55%,75.00%,Good,2023-02-15 00:00:00,20.91%,West Midlands
Greater Peterborough UTC,Peterborough,9.00%,70.00%,0.00%,0.00%,0.00%,16.15%,75.00%,Good,2022-10-12 00:00:00,20.91%,East of England
Heart of England School,Solihull,6.00%,84.00%,29.00%,29.00%,0.00%,13.63%,15.00%,Good,2018-10-09 00:00:00,20.88%,West Midlands
Regent High School,Camden,0.00%,83.00%,21.00%,16.00%,0.00%,8.70%,75.00%,Good,2023-02-03 00:00:00,20.87%,London
Faringdon Community College,Oxfordshire,0.00%,79.00%,27.00%,29.00%,0.00%,14.08%,25.00%,Good,2019-02-27 00:00:00,20.86%,South East
Chase Terrace Academy,Staffordshire,7.00%,75.00%,14.00%,11.00%,2.00%,14.68%,50.00%,Requires improvement,2022-12-07 00:00:00,20.86%,West Midlands
Brookvale Groby Learning Campus,Leicestershire,4.00%,79.00%,21.00%,17.00%,0.00%,17.58%,20.00%,Outstanding,2014-02-06 00:00:00,20.83%,East Midlands
WQE and Regent College Group,Leicester,1.00%,80.00%,15.00%,12.00%,1.00%,10.50%,75.00%,Good,2022-03-25 00:00:00,20.83%,East Midlands
The Emmbrook School,Wokingham,0.00%,63.00%,27.00%,24.00%,2.00%,8.85%,75.00%,Good,2023-10-18 00:00:00,20.82%,South East
Churchill Academy & Sixth Form,North Somerset,1.00%,71.00%,23.00%,24.00%,2.00%,12.17%,50.00%,Requires improvement,2023-03-14 00:00:00,20.82%,South West
Aldridge School - A Science College,Walsall,0.00%,87.00%,18.00%,17.00%,0.00%,8.22%,75.00%,Good,2022-05-26 00:00:00,20.81%,West Midlands
Sutton Community Academy,Nottinghamshire,0.00%,55.00%,16.00%,16.00%,3.00%,13.33%,75.00%,Good,2022-04-27 00:00:00,20.81%,East Midlands
The Wellington Academy,Wiltshire,8.00%,85.00%,8.00%,8.00%,0.00%,10.67%,75.00%,Good,2022-10-06 00:00:00,20.80%,South West
Blessed Thomas Holford Catholic College,Trafford,3.00%,73.00%,30.00%,23.00%,0.00%,11.00%,50.00%,Requires improvement,2022-10-05 00:00:00,20.80%,North West
Great Marlow School,Buckinghamshire,0.00%,74.00%,15.00%,19.00%,0.00%,10.45%,75.00%,Good,2022-11-10 00:00:00,20.79%,South East
Highlands School,Enfield,2.00%,83.00%,22.00%,16.00%,1.00%,16.95%,20.00%,Outstanding,2014-03-07 00:00:00,20.78%,London
Eltham Hill School,Greenwich,0.00%,81.00%,16.00%,16.00%,0.00%,18.02%,25.00%,Good,2019-01-16 00:00:00,20.78%,London
Sir John Leman High School,Suffolk,2.00%,58.00%,14.00%,13.00%,1.00%,13.87%,75.00%,Good,2022-05-12 00:00:00,20.78%,East of England
George Salter Academy,Sandwell,1.00%,82.00%,11.00%,11.00%,0.00%,11.18%,75.00%,Good,2023-05-24 00:00:00,20.77%,West Midlands
The Sir John Colfox Academy,Dorset,2.00%,67.00%,13.00%,10.00%,0.00%,13.33%,75.00%,Good,2023-09-13 00:00:00,20.75%,South West
The Thomas Adams School,Shropshire,1.00%,57.00%,14.00%,11.00%,0.00%,14.80%,75.00%,Good,2023-09-14 00:00:00,20.75%,West Midlands
"St Thomas More Catholic School, Willenhall",Walsall,3.00%,71.00%,9.00%,9.00%,0.00%,13.37%,75.00%,Good,2022-10-12 00:00:00,20.75%,West Midlands
Denbigh School,Milton Keynes,2.00%,79.00%,19.00%,16.00%,1.00%,17.20%,25.00%,Good,2019-01-16 00:00:00,20.74%,South East
Walton Academy,Lincolnshire,0.00%,73.00%,18.00%,18.00%,0.00%,10.22%,75.00%,Good,2022-11-03 00:00:00,20.74%,East Midlands
Gordano School,North Somerset,4.00%,76.00%,28.00%,32.00%,3.00%,12.95%,20.00%,Outstanding,2012-04-25 00:00:00,20.72%,South West
Wexham School,Slough,2.00%,90.00%,2.00%,4.00%,0.00%,12.45%,75.00%,Good,2023-05-25 00:00:00,20.71%,South East
Baylis Court School,Slough,0.00%,86.00%,7.00%,5.00%,0.00%,12.42%,75.00%,Good,2022-03-17 00:00:00,20.71%,South East
St Augustine's Catholic College,Wiltshire,2.00%,83.00%,31.00%,34.00%,1.00%,12.25%,16.67%,Requires improvement,2021-11-11 00:00:00,20.71%,South West
Bishop Thomas Grant Catholic Secondary School,Lambeth,2.00%,87.00%,28.00%,24.00%,3.00%,13.00%,20.00%,Outstanding,2014-10-15 00:00:00,20.69%,London
Oxted School,Surrey,3.00%,67.00%,23.00%,19.00%,1.00%,9.33%,75.00%,Good,2022-02-09 00:00:00,20.69%,South East
Cheltenham Bournside School and Sixth Form Centre,Gloucestershire,3.00%,64.00%,22.00%,21.00%,0.00%,9.83%,75.00%,Good,2022-09-28 00:00:00,20.68%,South West
Cardinal Newman Catholic School A Specialist Science College,Luton,6.00%,73.00%,28.00%,25.00%,2.00%,15.52%,15.00%,Good,2018-06-05 00:00:00,20.67%,East of England
St Nicholas Catholic High School,Cheshire West and Chester,2.00%,74.00%,30.00%,25.00%,2.00%,14.00%,25.00%,Good,2019-02-27 00:00:00,20.67%,North West
Saint Joan of Arc Catholic School,Hertfordshire,8.00%,80.00%,26.00%,21.00%,0.00%,5.63%,75.00%,Good,2023-10-19 00:00:00,20.67%,East of England
Etone College,Warwickshire,0.00%,72.00%,17.00%,13.00%,0.00%,11.38%,75.00%,Good,2022-03-30 00:00:00,20.66%,West Midlands
Howard of Effingham School,Surrey,5.00%,76.00%,28.00%,24.00%,1.00%,13.93%,25.00%,Good,2019-12-04 00:00:00,20.66%,South East
Plumstead Manor School,Greenwich,3.00%,79.00%,13.00%,12.00%,0.00%,14.70%,50.00%,Requires improvement,2023-06-15 00:00:00,20.63%,London
Philip Morant School and College,Essex,0.00%,69.00%,5.00%,3.00%,0.00%,15.83%,75.00%,Good,2023-09-14 00:00:00,20.63%,East of England
"The Royal School, Wolverhampton",Wolverhampton,0.00%,84.00%,13.00%,10.00%,0.00%,18.90%,25.00%,Good,2019-07-03 00:00:00,20.62%,West Midlands
Scarborough Sixth Form College,North Yorkshire,1.00%,67.00%,22.00%,18.00%,1.00%,9.85%,75.00%,Good,2023-03-23 00:00:00,20.60%,Yorkshire and The Humber
Ravens Wood School,Bromley,5.00%,69.00%,16.00%,14.00%,0.00%,10.88%,75.00%,Good,2023-06-29 00:00:00,20.59%,London
Brentford School for Girls,Hounslow,0.00%,83.00%,25.00%,20.00%,2.00%,14.50%,25.00%,Good,2019-05-14 00:00:00,20.58%,London
Samuel Ryder Academy,Hertfordshire,0.00%,83.00%,17.00%,17.00%,0.00%,8.60%,75.00%,Good,2022-06-30 00:00:00,20.58%,East of England
Downham Market Academy,Norfolk,0.00%,54.00%,7.00%,5.00%,0.00%,17.50%,75.00%,Good,2022-04-27 00:00:00,20.58%,East of England
UTC Heathrow,Hillingdon,10.00%,67.00%,0.00%,0.00%,0.00%,15.83%,75.00%,Good,2023-02-08 00:00:00,20.58%,London
Weatherhead High School,Wirral,0.00%,79.00%,21.00%,19.00%,1.00%,7.93%,75.00%,Good,2022-11-30 00:00:00,20.58%,North West
Windsor High School and Sixth Form,Dudley,1.00%,78.00%,17.00%,16.00%,0.00%,9.42%,75.00%,Good,2022-05-05 00:00:00,20.56%,West Midlands
Bushey Meads School,Hertfordshire,3.00%,75.00%,22.00%,18.00%,0.00%,16.67%,25.00%,Good,2019-11-13 00:00:00,20.55%,East of England
Guiseley School,Leeds,4.00%,77.00%,25.00%,21.00%,1.00%,14.82%,25.00%,Good,2019-09-25 00:00:00,20.55%,Yorkshire and The Humber
St Thomas More Catholic School,Bedford,2.00%,75.00%,14.00%,12.00%,1.00%,10.76%,75.00%,Good,2023-10-05 00:00:00,20.54%,East of England
Gillingham School,Dorset,1.00%,68.00%,26.00%,29.00%,4.00%,5.93%,75.00%,Good,2023-05-11 00:00:00,20.53%,South West
Camborne Science and International Academy,Cornwall,2.00%,72.00%,21.00%,15.00%,2.00%,19.22%,15.00%,Good,2018-03-23 00:00:00,20.52%,South West
The McAuley Catholic High School,Doncaster,0.00%,84.00%,25.00%,23.00%,2.00%,15.00%,16.67%,Requires improvement,2020-02-12 00:00:00,20.52%,Yorkshire and The Humber
Bellerive FCJ Catholic College,Liverpool,0.00%,88.00%,27.00%,27.00%,2.00%,11.80%,25.00%,Good,2021-10-13 00:00:00,20.52%,North West
Maltby Academy,Rotherham,0.00%,65.00%,13.00%,10.00%,0.00%,13.50%,75.00%,Good,2022-04-27 00:00:00,20.50%,Yorkshire and The Humber
St Thomas Aquinas Catholic School,Birmingham,0.00%,75.00%,24.00%,19.00%,0.00%,18.18%,15.00%,Good,2018-11-08 00:00:00,20.49%,West Midlands
Prince William School,North Northamptonshire,4.00%,83.00%,31.00%,21.00%,0.00%,12.92%,25.00%,Good,2020-01-29 00:00:00,20.48%,East Midlands
The Boswells School,Essex,6.00%,78.00%,14.00%,11.00%,0.00%,9.92%,75.00%,Good,2023-02-22 00:00:00,20.48%,East of England
Lord Lawson of Beamish Academy,Gateshead,7.00%,66.00%,19.00%,17.00%,2.00%,9.22%,75.00%,Good,2022-11-16 00:00:00,20.47%,North East
Campion School,Warwickshire,0.00%,57.00%,17.00%,17.00%,0.00%,12.68%,75.00%,Good,2023-07-13 00:00:00,20.46%,West Midlands
Epping St Johns Church of England School,Essex,0.00%,79.00%,17.00%,13.00%,0.00%,9.82%,75.00%,Good,2022-04-22 00:00:00,20.46%,East of England
Clapton Girls' Academy,Hackney,1.00%,79.00%,24.00%,23.00%,2.00%,15.13%,20.00%,Outstanding,2013-05-22 00:00:00,20.45%,London
"The Catholic High School, Chester",Cheshire West and Chester,0.00%,85.00%,25.00%,19.00%,0.00%,14.57%,25.00%,Good,2021-12-01 00:00:00,20.43%,North West
Burntwood School,Wandsworth,1.00%,89.00%,23.00%,19.00%,1.00%,13.82%,25.00%,Good,2020-01-30 00:00:00,20.43%,London
The Bishops' Blue Coat Church of England High School,Cheshire West and Chester,2.00%,71.00%,33.00%,26.00%,0.00%,13.83%,25.00%,Good,2019-11-21 00:00:00,20.43%,North West
Archway School,Gloucestershire,1.00%,61.00%,6.00%,6.00%,0.00%,15.78%,75.00%,Good,2022-03-03 00:00:00,20.41%,South West
The Sixth Form College Farnborough,Hampshire,2.00%,78.00%,27.00%,24.00%,1.00%,12.37%,33.33%,Outstanding,2021-10-01 00:00:00,20.40%,South East
Guilsborough Academy,West Northamptonshire,4.00%,81.00%,22.00%,20.00%,0.00%,10.62%,50.00%,Requires improvement,2023-10-04 00:00:00,20.39%,East Midlands
Drapers' Academy,Havering,1.00%,84.00%,27.00%,25.00%,2.00%,12.45%,25.00%,Good,2020-03-05 00:00:00,20.39%,London
Harlington Upper School,Central Bedfordshire,7.00%,77.00%,24.00%,19.00%,2.00%,15.97%,15.00%,Good,2018-03-15 00:00:00,20.38%,East of England
Netherhall School,Cumberland,6.00%,58.00%,6.00%,2.00%,0.00%,16.18%,75.00%,Good,2023-03-02 00:00:00,20.38%,North West
Hertswood Academy,Hertfordshire,0.00%,74.00%,16.00%,14.00%,0.00%,14.55%,50.00%,Requires improvement,2022-06-23 00:00:00,20.34%,East of England
Aston Academy,Rotherham,1.00%,75.00%,24.00%,23.00%,0.00%,16.92%,15.00%,Good,2018-06-13 00:00:00,20.34%,Yorkshire and The Humber
Glenthorne High School,Sutton,1.00%,79.00%,21.00%,19.00%,0.00%,15.88%,25.00%,Good,2021-11-25 00:00:00,20.34%,London
The Crompton House Church of England Academy,Oldham,1.00%,74.00%,25.00%,26.00%,1.00%,14.37%,25.00%,Good,2019-01-09 00:00:00,20.33%,North West
Callington Community College,Cornwall,0.00%,66.00%,14.00%,11.00%,0.00%,12.60%,75.00%,Good,2023-01-11 00:00:00,20.32%,South West
Thomas Tallis School,Greenwich,,85.00%,28.00%,26.00%,1.00%,13.83%,15.00%,Good,2018-12-12 00:00:00,20.31%,London
Harlington School,Hillingdon,3.00%,81.00%,11.00%,7.00%,0.00%,10.88%,75.00%,Good,2023-10-11 00:00:00,20.31%,London
Tuxford Academy,Nottinghamshire,1.00%,70.00%,13.00%,11.00%,0.00%,11.92%,75.00%,Good,2023-03-29 00:00:00,20.31%,East Midlands
The Thomas Hardye School,Dorset,2.00%,72.00%,31.00%,30.00%,3.00%,13.00%,20.00%,Outstanding,2015-03-20 00:00:00,20.29%,South West
Caludon Castle School,Coventry,1.00%,79.00%,24.00%,22.00%,2.00%,14.18%,25.00%,Good,2019-02-05 00:00:00,20.29%,West Midlands
Trinity Academy,Doncaster,0.00%,64.00%,13.00%,13.00%,3.00%,21.58%,16.67%,Requires improvement,2021-10-21 00:00:00,20.27%,Yorkshire and The Humber
Carshalton Boys Sports College,Sutton,1.00%,68.00%,21.00%,16.00%,2.00%,9.33%,75.00%,Good,2022-10-19 00:00:00,20.27%,London
Thomas Gainsborough School,Suffolk,1.00%,64.00%,17.00%,10.00%,1.00%,12.12%,75.00%,Good,2023-09-14 00:00:00,20.27%,East of England
The Knights Templar School,Hertfordshire,1.00%,76.00%,16.00%,12.00%,1.00%,9.85%,75.00%,Good,2023-04-26 00:00:00,20.25%,East of England
Acland Burghley School,Camden,0.00%,77.00%,22.00%,19.00%,0.00%,7.70%,75.00%,Good,2023-10-19 00:00:00,20.25%,London
Garforth Academy,Leeds,4.00%,76.00%,25.00%,24.00%,1.00%,14.62%,20.00%,Outstanding,2013-12-06 00:00:00,20.25%,Yorkshire and The Humber
Outwood Grange Academy,Wakefield,6.00%,85.00%,30.00%,28.00%,0.00%,11.38%,20.00%,Outstanding,2012-02-09 00:00:00,20.24%,Yorkshire and The Humber
Sandwell Academy,Sandwell,1.00%,84.00%,19.00%,18.00%,0.00%,16.18%,20.00%,Outstanding,2014-01-17 00:00:00,20.22%,West Midlands
Harris Academy South Norwood,Croydon,2.00%,77.00%,10.00%,7.00%,,11.70%,75.00%,Good,2022-05-12 00:00:00,20.22%,London
Kettering Buccleuch Academy,North Northamptonshire,2.00%,78.00%,27.00%,27.00%,2.00%,12.53%,25.00%,Good,2021-10-20 00:00:00,20.22%,East Midlands
Highcliffe School,"Bournemouth, Christchurch and Poole",1.00%,73.00%,25.00%,17.00%,1.00%,7.77%,75.00%,Good,2023-06-28 00:00:00,20.21%,South West
Newlands Girls' School,Windsor and Maidenhead,2.00%,89.00%,27.00%,25.00%,0.00%,12.40%,20.00%,Outstanding,2018-10-10 00:00:00,20.20%,South East
Neston High School,Cheshire West and Chester,2.00%,72.00%,22.00%,16.00%,0.00%,8.70%,75.00%,Good,2022-02-09 00:00:00,20.20%,North West
The Nottingham Emmanuel School,Nottingham,5.00%,79.00%,12.00%,12.00%,2.00%,17.32%,25.00%,Good,2020-03-11 00:00:00,20.19%,East Midlands
Bourne End Academy,Buckinghamshire,5.00%,65.00%,5.00%,5.00%,0.00%,14.37%,75.00%,Good,2022-09-28 00:00:00,20.18%,South East
Holy Trinity School,Worcestershire,0.00%,73.00%,20.00%,20.00%,0.00%,8.35%,75.00%,Good,2022-09-22 00:00:00,20.18%,West Midlands
Kingsbury Green Academy,Wiltshire,3.00%,67.00%,16.00%,16.00%,0.00%,10.32%,75.00%,Good,2022-04-28 00:00:00,20.18%,South West
Shenley Brook End School,Milton Keynes,8.00%,76.00%,23.00%,22.00%,2.00%,15.12%,15.00%,Good,2018-09-25 00:00:00,20.17%,South East
The Vale Academy,North Lincolnshire,0.00%,42.00%,15.00%,12.00%,0.00%,15.93%,75.00%,Good,2023-04-19 00:00:00,20.17%,Yorkshire and The Humber
St John Plessington Catholic College,Wirral,2.00%,80.00%,23.00%,21.00%,1.00%,5.88%,75.00%,Good,2022-11-23 00:00:00,20.17%,North West
Ryburn Valley High School,Calderdale,0.00%,57.00%,13.00%,12.00%,0.00%,13.77%,75.00%,Good,2022-07-13 00:00:00,20.17%,Yorkshire and The Humber
Twynham School,"Bournemouth, Christchurch and Poole",1.00%,76.00%,30.00%,25.00%,1.00%,13.90%,20.00%,Outstanding,2013-04-26 00:00:00,20.16%,South West
The Kings of Wessex Academy,Somerset,1.00%,71.00%,26.00%,28.00%,0.00%,15.83%,15.00%,Good,2018-11-13 00:00:00,20.13%,South West
Rivington and Blackrod High School,Bolton,3.00%,63.00%,16.00%,10.00%,0.00%,12.10%,75.00%,Good,2023-06-15 00:00:00,20.13%,North West
Queen Mary's College,Hampshire,2.00%,65.00%,17.00%,15.00%,1.00%,10.52%,75.00%,Good,2022-12-09 00:00:00,20.13%,South East
South Hunsley School and Sixth Form College,East Riding of Yorkshire,3.00%,77.00%,28.00%,24.00%,2.00%,13.62%,20.00%,Outstanding,2013-05-15 00:00:00,20.12%,Yorkshire and The Humber
Churchill Community College,North Tyneside,0.00%,57.00%,29.00%,29.00%,0.00%,15.93%,25.00%,Good,2019-03-27 00:00:00,20.12%,North East
Trinity Catholic College,Middlesbrough,2.00%,72.00%,21.00%,21.00%,3.00%,11.10%,50.00%,Requires improvement,2022-05-26 00:00:00,20.11%,North East
Chatham & Clarendon Grammar School,Kent,1.00%,85.00%,21.00%,16.00%,,16.68%,15.00%,Good,2018-05-16 00:00:00,20.11%,South East
Belper School and Sixth Form Centre,Derbyshire,1.00%,61.00%,19.00%,13.00%,1.00%,15.52%,50.00%,Requires improvement,2022-11-23 00:00:00,20.10%,East Midlands
UTC Sheffield City Centre,Sheffield,4.00%,58.00%,14.00%,10.00%,0.00%,21.37%,25.00%,Good,2020-02-13 00:00:00,20.10%,Yorkshire and The Humber
Holly Lodge High School College of Science,Sandwell,0.00%,90.00%,5.00%,5.00%,0.00%,10.83%,75.00%,Good,2022-03-03 00:00:00,20.08%,West Midlands
Goffs Academy,Hertfordshire,4.00%,72.00%,14.00%,9.00%,1.00%,10.60%,75.00%,Good,2023-05-18 00:00:00,20.08%,East of England
Ullswater Community College,Westmorland and Furness,0.00%,78.00%,19.00%,14.00%,0.00%,8.68%,75.00%,Good,2023-04-19 00:00:00,20.07%,North West
Samuel Whitbread Academy,Central Bedfordshire,4.00%,69.00%,19.00%,15.00%,0.00%,9.30%,75.00%,Good,2023-03-03 00:00:00,20.07%,East of England
Swindon Academy,Swindon,0.00%,47.00%,9.00%,8.00%,0.00%,16.65%,75.00%,Good,2022-06-08 00:00:00,20.04%,South West
Sharnbrook Academy,Bedford,2.00%,79.00%,24.00%,21.00%,0.00%,10.05%,50.00%,Requires improvement,2022-06-22 00:00:00,20.04%,East of England
La Sainte Union Catholic Secondary School,Camden,2.00%,87.00%,24.00%,24.00%,1.00%,12.03%,25.00%,Good,2019-10-03 00:00:00,20.04%,London
The Frances Bardsley Academy for Girls,Havering,5.00%,75.00%,18.00%,14.00%,1.00%,16.53%,25.00%,Good,2019-07-03 00:00:00,20.04%,London
Helston Community College,Cornwall,2.00%,53.00%,14.00%,13.00%,3.00%,12.72%,75.00%,Good,2022-11-10 00:00:00,20.03%,South West
Okehampton College,Devon,0.00%,65.00%,18.00%,19.00%,0.00%,14.10%,50.00%,Requires improvement,2023-05-17 00:00:00,20.03%,South West
Matravers School,Wiltshire,1.00%,60.00%,16.00%,13.00%,0.00%,12.08%,75.00%,Good,2022-09-22 00:00:00,20.01%,South West
The John Roan School,Greenwich,0.00%,83.00%,12.00%,7.00%,0.00%,10.27%,75.00%,Good,2023-10-11 00:00:00,20.00%,London
Roding Valley High School,Essex,6.00%,60.00%,11.00%,11.00%,0.00%,12.43%,75.00%,Good,2022-09-28 00:00:00,19.98%,East of England
Therfield School,Surrey,0.00%,63.00%,22.00%,14.00%,0.00%,18.77%,25.00%,Good,2019-01-08 00:00:00,19.95%,South East
Westminster Academy,Westminster,0.00%,82.00%,35.00%,37.00%,2.00%,0.00%,75.00%,Good,2023-10-19 00:00:00,19.95%,London
The Lea Valley Academy,Enfield,1.00%,76.00%,8.00%,8.00%,1.00%,11.35%,75.00%,Good,2022-10-06 00:00:00,19.93%,London
St Mark's West Essex Catholic School,Essex,0.00%,81.00%,14.00%,12.00%,0.00%,9.13%,75.00%,Good,2023-02-23 00:00:00,19.93%,East of England
Dallam School,Westmorland and Furness,4.00%,64.00%,27.00%,18.00%,0.00%,12.08%,50.00%,Requires improvement,2023-05-26 00:00:00,19.93%,North West
Christ The King Sixth Form College,Lewisham,1.00%,85.00%,5.00%,4.00%,,11.38%,75.00%,Good,2023-10-13 00:00:00,19.93%,London
Swinton Academy,Rotherham,0.00%,43.00%,0.00%,0.00%,0.00%,20.17%,75.00%,Good,2023-06-28 00:00:00,19.92%,Yorkshire and The Humber
Lutterworth College,Leicestershire,7.00%,66.00%,11.00%,10.00%,2.00%,10.80%,75.00%,Good,2023-01-11 00:00:00,19.90%,East Midlands
The Chauncy School,Hertfordshire,0.00%,66.00%,11.00%,8.00%,1.00%,8.45%,100.00%,Outstanding,2023-06-21 00:00:00,19.90%,East of England
Dixons Allerton Academy,Bradford,0.00%,86.00%,20.00%,20.00%,1.00%,13.72%,25.00%,Good,2019-03-06 00:00:00,19.90%,Yorkshire and The Humber
Poole High School,"Bournemouth, Christchurch and Poole",1.00%,63.00%,18.00%,12.00%,0.00%,11.22%,75.00%,Good,2022-09-28 00:00:00,19.89%,South West
The Academy of St Nicholas,Liverpool,0.00%,53.00%,19.00%,16.00%,0.00%,12.08%,75.00%,Good,2022-12-07 00:00:00,19.89%,North West
Reigate College,Surrey,2.00%,71.00%,20.00%,16.00%,,8.58%,75.00%,Good,2022-03-11 00:00:00,19.89%,South East
Bluecoat Aspley Academy,Nottingham,1.00%,86.00%,20.00%,17.00%,1.00%,15.80%,15.00%,Good,2018-05-10 00:00:00,19.89%,East Midlands
The Woodroffe School,Dorset,0.00%,68.00%,30.00%,29.00%,5.00%,13.05%,20.00%,Outstanding,2011-09-16 00:00:00,19.88%,South West
St Joseph's Catholic High School,Slough,1.00%,82.00%,14.00%,11.00%,1.00%,8.63%,75.00%,Good,2022-05-11 00:00:00,19.87%,South East
The Blandford School,Dorset,2.00%,77.00%,38.00%,41.00%,0.00%,9.27%,16.67%,Requires improvement,2021-10-13 00:00:00,19.87%,South West
