School,Location,Progressed to Sustained App'ship (%),Progressed to Sustained L4 or above  (%),Progressed to Top-Third Higher Education (%),Progressed to Russell Group Institution (%),Progressed to Oxford or Cambridge (%),Progressed to Sciences (avg) %,OFSTED Score % (Accounting for Time Since OFTSTED Visit),OFTSTED rating,Last OFSTED Visit,Performance Across All Indices %,Region_name
Twyford Church of England High School,Ealing,,89.00%,62.00%,59.00%,6.00%,19.45%,100.00%,Outstanding,2023-10-18 00:00:00,37.29%,London
Bow School,Tower Hamlets,0.00%,100.00%,48.00%,48.00%,6.00%,26.20%,75.00%,Good,2023-09-13 00:00:00,37.23%,London
Watford Grammar School for Boys,Hertfordshire,2.00%,93.00%,60.00%,58.00%,2.00%,30.67%,33.33%,Outstanding,2021-10-14 00:00:00,37.08%,East of England
Caistor Grammar School,Lincolnshire,2.00%,85.00%,48.00%,47.00%,7.00%,28.00%,75.00%,Good,2022-05-25 00:00:00,37.08%,East Midlands
Lancaster Girls' Grammar School,Lancashire,1.00%,86.00%,61.00%,44.00%,5.00%,26.85%,75.00%,Good,2022-09-22 00:00:00,37.03%,North West
St Dominic's Sixth Form College,Harrow,2.00%,94.00%,48.00%,43.00%,2.00%,24.07%,100.00%,Outstanding,2022-05-19 00:00:00,36.92%,London
Queen Elizabeth Grammar School Penrith,Westmorland and Furness,1.00%,90.00%,55.00%,45.00%,6.00%,26.20%,75.00%,Good,2023-01-25 00:00:00,36.77%,North West
Futures Institute Banbury,Oxfordshire,8.00%,92.00%,33.00%,33.00%,0.00%,32.15%,75.00%,Good,2022-12-07 00:00:00,36.71%,South East
"The King's School, Grantham",Lincolnshire,2.00%,92.00%,63.00%,58.00%,4.00%,22.10%,75.00%,Good,2022-12-14 00:00:00,36.68%,East Midlands
Ermysted's Grammar School,North Yorkshire,3.00%,81.00%,51.00%,43.00%,4.00%,28.70%,75.00%,Good,2022-09-29 00:00:00,36.65%,Yorkshire and The Humber
St Mary Magdalene Academy,Islington,1.00%,85.00%,48.00%,47.00%,3.00%,22.97%,100.00%,Outstanding,2023-07-04 00:00:00,36.06%,London
Fulford School,York,1.00%,87.00%,61.00%,50.00%,3.00%,19.68%,100.00%,Outstanding,2023-10-05 00:00:00,35.97%,Yorkshire and The Humber
North East Futures UTC,Newcastle upon Tyne,5.00%,85.00%,40.00%,30.00%,0.00%,35.70%,50.00%,Requires improvement,2023-02-09 00:00:00,35.85%,North East
Wirral Grammar School for Girls,Wirral,3.00%,85.00%,50.00%,44.00%,3.00%,22.25%,100.00%,Outstanding,2022-12-07 00:00:00,35.73%,North West
Christ's College Finchley,Barnet,0.00%,93.00%,37.00%,37.00%,3.00%,37.13%,25.00%,Good,2020-03-04 00:00:00,35.56%,London
Greenhead College,Kirklees,2.00%,90.00%,48.00%,43.00%,3.00%,21.65%,100.00%,Outstanding,2022-03-18 00:00:00,35.50%,Yorkshire and The Humber
Burnham Grammar School,Buckinghamshire,3.00%,94.00%,40.00%,32.00%,2.00%,28.68%,75.00%,Good,2022-12-07 00:00:00,35.46%,South East
Rugby High School,Warwickshire,1.00%,90.00%,51.00%,43.00%,3.00%,25.00%,75.00%,Good,2022-11-16 00:00:00,35.26%,West Midlands
Upton Hall School FCJ,Wirral,1.00%,91.00%,53.00%,56.00%,4.00%,17.30%,100.00%,Outstanding,2022-06-29 00:00:00,35.17%,North West
Bournemouth School,"Bournemouth, Christchurch and Poole",2.00%,88.00%,59.00%,57.00%,3.00%,30.00%,20.00%,Outstanding,2011-09-14 00:00:00,35.16%,South West
Ark Acton Academy,Ealing,0.00%,90.00%,43.00%,35.00%,0.00%,28.43%,75.00%,Good,2023-02-03 00:00:00,35.05%,London
Sir William Borlase's Grammar School,Buckinghamshire,2.00%,95.00%,68.00%,61.00%,4.00%,26.02%,20.00%,Outstanding,2012-06-28 00:00:00,35.02%,South East
The Camden School for Girls,Camden,0.00%,91.00%,67.00%,63.00%,7.00%,16.75%,75.00%,Good,2022-06-09 00:00:00,34.97%,London
"The Royal Grammar School, High Wycombe",Buckinghamshire,1.00%,88.00%,67.00%,57.00%,11.00%,25.62%,25.00%,Good,2019-10-10 00:00:00,34.97%,South East
King Edward VI Handsworth School,Birmingham,4.00%,92.00%,51.00%,52.00%,3.00%,30.90%,20.00%,Outstanding,2014-02-05 00:00:00,34.94%,West Midlands
Parmiter's School,Hertfordshire,2.00%,94.00%,68.00%,60.00%,6.00%,25.55%,20.00%,Outstanding,2011-09-22 00:00:00,34.86%,East of England
The Crossley Heath School,Calderdale,3.00%,87.00%,51.00%,47.00%,3.00%,23.55%,75.00%,Good,2023-07-04 00:00:00,34.85%,Yorkshire and The Humber
Harris Academy Tottenham,Haringey,0.00%,88.00%,46.00%,42.00%,0.00%,22.13%,100.00%,Outstanding,2023-01-12 00:00:00,34.77%,London
Ark Academy,Brent,2.00%,91.00%,45.00%,39.00%,2.00%,21.55%,100.00%,Outstanding,2022-02-23 00:00:00,34.76%,London
Queen Mary's High School,Walsall,3.00%,94.00%,52.00%,52.00%,4.00%,27.62%,33.33%,Outstanding,2021-10-13 00:00:00,34.70%,West Midlands
Cheadle Hulme High School,Stockport,4.00%,92.00%,64.00%,58.00%,3.00%,27.03%,20.00%,Outstanding,2014-12-11 00:00:00,34.69%,North West
Devonport High School for Boys,Plymouth,5.00%,81.00%,40.00%,41.00%,2.00%,27.15%,75.00%,Good,2023-10-18 00:00:00,34.68%,South West
Tunbridge Wells Girls' Grammar School,Kent,0.00%,94.00%,59.00%,54.00%,5.00%,15.05%,100.00%,Outstanding,2023-09-20 00:00:00,34.63%,South East
Bristol Cathedral Choir School,"Bristol, City of",1.00%,89.00%,49.00%,50.00%,2.00%,22.95%,75.00%,Good,2022-11-30 00:00:00,34.56%,South West
Dr Challoner's High School,Buckinghamshire,0.00%,93.00%,71.00%,63.00%,3.00%,25.05%,20.00%,Outstanding,2012-05-30 00:00:00,34.53%,South East
Cambridge Academy for Science and Technology,Cambridgeshire,0.00%,77.00%,13.00%,10.00%,0.00%,39.42%,75.00%,Good,2023-05-17 00:00:00,34.46%,East of England
Clitheroe Royal Grammar School,Lancashire,4.00%,87.00%,49.00%,36.00%,3.00%,20.95%,100.00%,Outstanding,2022-11-23 00:00:00,34.45%,North West
Harris Academy Riverside,Thurrock,5.00%,63.00%,8.00%,8.00%,0.00%,42.05%,75.00%,Good,2022-02-23 00:00:00,34.41%,East of England
Lancaster Royal Grammar School,Lancashire,1.00%,85.00%,55.00%,40.00%,4.00%,32.13%,25.00%,Good,2021-10-20 00:00:00,34.40%,North West
George Green's School,Tower Hamlets,0.00%,86.00%,42.00%,39.00%,0.00%,26.97%,75.00%,Good,2022-05-25 00:00:00,34.30%,London
Herschel Grammar School,Slough,4.00%,95.00%,42.00%,33.00%,0.00%,35.13%,20.00%,Outstanding,2012-09-19 00:00:00,34.28%,South East
The Blue Coat CofE School,Oldham,4.00%,81.00%,39.00%,37.00%,3.00%,22.92%,100.00%,Outstanding,2022-11-30 00:00:00,34.20%,North West
The Cherwell School,Oxfordshire,1.00%,86.00%,47.00%,44.00%,5.00%,19.25%,100.00%,Outstanding,2022-10-20 00:00:00,34.15%,South East
Sir Thomas Rich's School,Gloucestershire,4.00%,90.00%,54.00%,54.00%,2.00%,28.15%,25.00%,Good,2021-10-07 00:00:00,34.14%,South West
Silverdale School,Sheffield,0.00%,86.00%,52.00%,47.00%,2.00%,22.78%,75.00%,Good,2022-10-07 00:00:00,34.09%,Yorkshire and The Humber
Torquay Girls Grammar School,Torbay,1.00%,88.00%,54.00%,51.00%,3.00%,16.67%,100.00%,Outstanding,2023-11-02 00:00:00,34.06%,South West
The Skinners' School,Kent,1.00%,95.00%,69.00%,61.00%,5.00%,22.82%,25.00%,Good,2021-11-17 00:00:00,33.97%,South East
The Becket School,Nottinghamshire,4.00%,93.00%,50.00%,50.00%,4.00%,19.93%,75.00%,Good,2022-09-22 00:00:00,33.97%,East Midlands
